Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\CreateNewModsFolder.Designer.cs,235,22,T:System.Windows.Forms.Label,,,,,lblNewFilder
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\CreateNewModsFolder.Designer.cs,234,22,T:System.Windows.Forms.Label,,,,,lblModsList
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\CreateNewModsFolder.Designer.cs,233,24,T:System.Windows.Forms.ListBox,,,,,lstModsList
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\CreateNewModsFolder.Designer.cs,232,23,T:System.Windows.Forms.Button,,,,,btnBrowse
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\CreateNewModsFolder.Designer.cs,231,24,T:System.Windows.Forms.TextBox,,,,,txtCopyFolder
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\CreateNewModsFolder.Designer.cs,230,22,T:System.Windows.Forms.Label,,,,,lblCopyFolder
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\CreateNewModsFolder.Designer.cs,225,12,M:System.Windows.Forms.Control.PerformLayout,,,,,PerformLayout();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\CreateNewModsFolder.Designer.cs,224,12,M:System.Windows.Forms.Control.ResumeLayout(System.Boolean),,,,,ResumeLayout(false);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\CreateNewModsFolder.Designer.cs,223,12,T:System.Windows.Forms.StatusStrip,,,,,statusStrip.PerformLayout();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\CreateNewModsFolder.Designer.cs,223,12,M:System.Windows.Forms.Control.PerformLayout,,,,,statusStrip.PerformLayout();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\CreateNewModsFolder.Designer.cs,222,12,T:System.Windows.Forms.StatusStrip,,,,,statusStrip.ResumeLayout(false);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\CreateNewModsFolder.Designer.cs,222,12,M:System.Windows.Forms.Control.ResumeLayout(System.Boolean),,,,,statusStrip.ResumeLayout(false);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\CreateNewModsFolder.Designer.cs,221,12,E:System.Windows.Forms.Form.Load,,,,,Load += frmCreateModsFolder_Load;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\CreateNewModsFolder.Designer.cs,220,12,P:System.Windows.Forms.Form.Text,,,,,"Text = ""Create New Mods Folder"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\CreateNewModsFolder.Designer.cs,219,12,P:System.Windows.Forms.Control.Name,,,,,"Name = ""frmCreateModsFolder"";"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\CreateNewModsFolder.Designer.cs,218,12,T:System.Drawing.Icon,,,,,"Icon = (Icon)resources.GetObject(""$this.Icon"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\CreateNewModsFolder.Designer.cs,218,12,P:System.Windows.Forms.Form.Icon,,,,,"Icon = (Icon)resources.GetObject(""$this.Icon"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\CreateNewModsFolder.Designer.cs,217,12,T:System.Windows.Forms.Label,,,,,Controls.Add(lblCopyFolder);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\CreateNewModsFolder.Designer.cs,217,12,T:System.Windows.Forms.Control.ControlCollection,,,,,Controls.Add(lblCopyFolder);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\CreateNewModsFolder.Designer.cs,217,12,P:System.Windows.Forms.Control.Controls,,,,,Controls.Add(lblCopyFolder);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\CreateNewModsFolder.Designer.cs,217,12,M:System.Windows.Forms.Control.ControlCollection.Add(System.Windows.Forms.Control),,,,,Controls.Add(lblCopyFolder);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\CreateNewModsFolder.Designer.cs,216,12,T:System.Windows.Forms.TextBox,,,,,Controls.Add(txtCopyFolder);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\CreateNewModsFolder.Designer.cs,216,12,T:System.Windows.Forms.Control.ControlCollection,,,,,Controls.Add(txtCopyFolder);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\CreateNewModsFolder.Designer.cs,216,12,P:System.Windows.Forms.Control.Controls,,,,,Controls.Add(txtCopyFolder);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\CreateNewModsFolder.Designer.cs,216,12,M:System.Windows.Forms.Control.ControlCollection.Add(System.Windows.Forms.Control),,,,,Controls.Add(txtCopyFolder);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\CreateNewModsFolder.Designer.cs,215,12,T:System.Windows.Forms.Button,,,,,Controls.Add(btnBrowse);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\CreateNewModsFolder.Designer.cs,215,12,T:System.Windows.Forms.Control.ControlCollection,,,,,Controls.Add(btnBrowse);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\CreateNewModsFolder.Designer.cs,215,12,P:System.Windows.Forms.Control.Controls,,,,,Controls.Add(btnBrowse);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\CreateNewModsFolder.Designer.cs,215,12,M:System.Windows.Forms.Control.ControlCollection.Add(System.Windows.Forms.Control),,,,,Controls.Add(btnBrowse);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\CreateNewModsFolder.Designer.cs,214,12,T:System.Windows.Forms.ListBox,,,,,Controls.Add(lstModsList);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\CreateNewModsFolder.Designer.cs,214,12,T:System.Windows.Forms.Control.ControlCollection,,,,,Controls.Add(lstModsList);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\CreateNewModsFolder.Designer.cs,214,12,P:System.Windows.Forms.Control.Controls,,,,,Controls.Add(lstModsList);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\CreateNewModsFolder.Designer.cs,214,12,M:System.Windows.Forms.Control.ControlCollection.Add(System.Windows.Forms.Control),,,,,Controls.Add(lstModsList);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\CreateNewModsFolder.Designer.cs,213,12,T:System.Windows.Forms.Label,,,,,Controls.Add(lblModsList);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\CreateNewModsFolder.Designer.cs,213,12,T:System.Windows.Forms.Control.ControlCollection,,,,,Controls.Add(lblModsList);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\CreateNewModsFolder.Designer.cs,213,12,P:System.Windows.Forms.Control.Controls,,,,,Controls.Add(lblModsList);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\CreateNewModsFolder.Designer.cs,213,12,M:System.Windows.Forms.Control.ControlCollection.Add(System.Windows.Forms.Control),,,,,Controls.Add(lblModsList);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\CreateNewModsFolder.Designer.cs,212,12,T:System.Windows.Forms.Label,,,,,Controls.Add(lblNewFilder);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\CreateNewModsFolder.Designer.cs,212,12,T:System.Windows.Forms.Control.ControlCollection,,,,,Controls.Add(lblNewFilder);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FS22 Mod Manager\FS Mod Manager.csproj,File,FS22 Mod Manager\CreateNewModsFolder.Designer.cs,212,12,P:System.Windows.Forms.Control.Controls,,,,,Controls.Add(lblNewFilder);
